setting,setting_label,seed,gene,fold_A_rank,fold_A_pval,fold_B_rank,fold_B_pval,fold_B_significant_p005
4,4 PCs,13,ANKRD22,1,0.00198602597432862,18,0.006429094231622523,True
4,4 PCs,13,DEFB1,2,0.002181090631284577,3,0.003535873406263823,True
4,4 PCs,13,NCF2,3,0.002906248986125237,31,0.007527367156067943,True
4,4 PCs,13,RP11-701P16.5,4,0.003106532921039351,17,0.006293581892811484,True
4,4 PCs,13,CFD,5,0.0036193202885360654,13,0.005811021905260727,True
4,4 PCs,13,TNFAIP6,6,0.00411199174383603,8,0.004756548313686992,True
4,4 PCs,13,PVRL2,7,0.0043348444174907685,28,0.00732363617965992,True
4,4 PCs,13,SERPINA1,8,0.004428976479405322,5,0.003971081058786963,True
4,4 PCs,13,CLEC4E,9,0.004517451992937627,16,0.006267101145233989,True
4,4 PCs,13,PILRA,10,0.004973161285927286,11,0.005324884559562482,True
8,8 PCs,13,DEFB1,1,0.0013434672027441419,1,0.0021146735518799975,True
8,8 PCs,13,ANKRD22,2,0.0014503712786104739,50,0.014391572933852514,True
8,8 PCs,13,PVRL2,3,0.0022298440888174342,22,0.00852348674013581,True
8,8 PCs,13,CFD,4,0.003957324702939191,17,0.006680524247376085,True
8,8 PCs,13,HESX1,5,0.0040037804262149645,9,0.005723238107337991,True
8,8 PCs,13,MAFB,6,0.004196043597653576,5,0.0038599630214994907,True
8,8 PCs,13,NCF2,7,0.004580473567849963,85,0.018510096400523368,True
8,8 PCs,13,RAB32,8,0.004599943440965704,125,0.024824730493105296,True
8,8 PCs,13,SERPINA1,9,0.004657091737191976,4,0.0037291698900318027,True
8,8 PCs,13,MARCKS,10,0.004854510639022092,51,0.01441464645757995,True
12,12 PCs,13,DEFB1,1,0.0025999023455547388,42,0.013687300937577418,True
12,12 PCs,13,AQP9,2,0.0044463508768358695,28,0.010800158378717395,True
12,12 PCs,13,CFD,3,0.0058163489821565495,8,0.007202225652645278,True
12,12 PCs,13,MS4A1,4,0.006171041912756303,45,0.014014160299437917,True
12,12 PCs,13,SERPINA1,5,0.006482013799485875,3,0.006390192746338563,True
12,12 PCs,13,GZMH,6,0.006542972191151075,11,0.0082615971720299,True
12,12 PCs,13,KLRD1,7,0.006895771083728741,4,0.0065091934099497095,True
12,12 PCs,13,FGFBP2,8,0.007322202412509582,15,0.008657863841060043,True
12,12 PCs,13,CMTM8,9,0.0077368729375630885,27,0.010215691972476737,True
12,12 PCs,13,PILRA,10,0.008139179757351456,20,0.009308684284492164,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,CLEC4E,1,0.006719035217162661,15,0.010949458967877468,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,MS4A1,2,0.0074821619100745584,46,0.015162212897435912,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,SERPINA1,3,0.007850705346206466,1,0.0037291698900318027,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,S100A8,4,0.008335621874147048,7,0.007935688801834373,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,RP11-701P16.5,5,0.008644146303727118,49,0.01532837172782675,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,KLRD1,6,0.008875643948155099,25,0.012863348304604116,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,SDS,7,0.00991925206470079,9,0.008795103656295988,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,PLA2G7,8,0.010414413939118239,10,0.008855865580020494,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,CXCL16,9,0.010900553459012308,45,0.015159797965034083,True
bipca_umap2d,BiPCA rank -> UMAP2D,13,FGFBP2,10,0.011171448503508263,57,0.01702754416404284,True
