n_cells,n_genes,median,q25,q75
1000,500,16.942468034103513,16.58959001628682,20.481648333370686
4000,500,33.3543370468542,32.37853324133903,37.77774097258225
8000,500,70.89984802249819,66.05385325755924,72.3158231456764
16000,500,194.22556855436412,169.79775918787345,209.89508611429483
1000,1000,19.29573513753712,19.27931984560564,19.498005763161927
4000,1000,44.24154279381037,41.72382697928697,45.46892266115174
8000,1000,104.65914668049663,95.01230547204614,106.8033790672198
16000,1000,189.48742244020104,184.37067839782685,194.88767183711752
1000,2000,25.58527365140617,25.187232409603894,25.902203156147152
4000,2000,60.69996274262667,55.80133530078456,62.40047473926097
8000,2000,119.232750444673,117.75841522449628,123.95121288718656
16000,2000,322.8849167106673,321.4983463701792,335.5764459948987
1000,4000,38.411715529859066,37.80666596675292,38.81860919063911
4000,4000,88.09506543260068,87.84252640977502,90.37936365045607
8000,4000,180.7779997801408,157.40066924877465,199.40326434466985
16000,4000,414.3987052543089,369.4458732600324,470.87495435075834
